data_versao,cod_item,cod_item_pai,nome,descricao_glossario,justica_estadual_1grau,justica_estadual_2grau,justica_estadual_juizado_especial,justica_estadual_juizado_especial_turmas_recursais,justica_estadual_juizado_especial_fazenda_publica,justica_estadual_turma_estadual_uniformizacao,justica_estadual_militar_1grau,justica_estadual_militar_2grau,justica_federal_1grau,justica_federal_2grau,justica_federal_juizado_especial,justica_federal_turmas_recursais,justica_federal_nacional_uniformizacao,justica_federal_regional_uniformizacao,justica_federal_cjf,justica_trabalho_1grau,justica_trabalho_2grau,justica_trabalho_tst,justica_trabalho_csjt,justica_militar_uniao_1grau,justica_militar_uniao_stm,justica_militar_estadual_1grau,justica_militar_estadual_tjm,justica_eleitoral_zonas,justica_eleitoral_tre,justica_eleitoral_tse,outras_justicas_stf,outras_justicas_stj,outras_justicas_cnj,norma,artigo,sigiloso,assunto_secundario,crime_antecedente,situacao,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao
2025-09-11 16:34:41,2364,2581.0,Plano de Saúde,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,S,N,N,,,N,N,N,I,2008-09-30 15:52:52,,2020-11-18 12:38:20,pedro.amorim
2025-09-11 16:34:41,3388,287.0,Periclitação da Vida e da Saúde,,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N,,,N,N,N,A,2008-09-30 15:52:52,,2021-05-28 14:01:47,pedro.amorim
2025-09-11 16:34:41,3390,3388.0,Perigo para a vida ou saúde de outrem,"<p>
	Perigo para a vida ou sa&uacute;de de outrem Art. 132 - Expor a vida ou a sa&uacute;de de outrem a perigo direto e iminente: Pena - deten&ccedil;&atilde;o, de tr&ecirc;s meses a um ano, se o fato n&atilde;o constitui crime mais grave. Par&aacute;grafo &uacute;nico. A pena &eacute; aumentada de um sexto a um ter&ccedil;o se a exposi&ccedil;&atilde;o da vida ou da sa&uacute;de de outrem a perigo decorre do transporte de pessoas para a presta&ccedil;&atilde;o de servi&ccedil;os em estabelecimentos de qualquer natureza, em desacordo com as normas legais. (Inclu&iacute;do pela Lei n&ordm; 9.777, de 29.12.1998)</p>
",S,S,S,S,N,S,S,S,S,S,S,S,S,S,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N,CP,132,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,3505,3491.0,Epidemia ,"Epidemia
Art. 267 - Causar epidemia, mediante a propagação de germes patogênicos:
Pena - reclusão, de dez a quinze anos. (Redação dada pela Lei nº 8.072, de 25.7.1990)
        § 1º - Se do fato resulta morte, a pena é aplicada em dobro.
        § 2º - No caso de culpa, a pena é de detenção, de um a dois anos, ou, se resulta morte, de dois a quatro anos.",S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N,CP,267,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,3508,3491.0,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais,"Falsificação, corrupção, adulteração ou alteração de produto destinado a fins terapêuticos ou medicinais (Redação dada pela Lei nº 9.677, de 2.7.1998)
Art. 273 - Falsificar, corromper, adulterar ou alterar produto destinado a fins terapêuticos ou medicinais: (Redação dada pela Lei nº 9.677, de 2.7.1998)
Pena - reclusão, de 10 (dez) a 15 (quinze) anos, e multa. (Redação dada pela Lei nº 9.677, de 2.7.1998)
        § 1º - Nas mesmas penas incorre quem importa, vende, expõe à venda, tem em depósito para vender ou, de qualquer forma, distribui ou entrega a consumo o produto falsificado, corrompido, adulterado ou alterado. (Redação dada pela Lei nº 9.677, de 2.7.1998)
             § 1º-A - Incluem-se entre os produtos a que se refere este artigo os medicamentos, as matérias-primas, os insumos farmacêuticos, os cosméticos, os saneantes e os de uso em diagnóstico. (Incluído pela Lei nº 9.677, de 2.7.1998)
              § 1º-B - Está sujeito às penas deste artigo quem pratica as ações previstas no § 1º em relação a produtos em qualquer das seguintes condições: (Incluído pela Lei nº 9.677, de 2.7.1998)
                     I - sem registro, quando exigível, no órgão de vigilância sanitária competente; (Incluído pela Lei nº 9.677, de 2.7.1998)
                    II - em desacordo com a fórmula constante do registro previsto no inciso anterior; (Incluído pela Lei nº 9.677, de 2.7.1998)
                   III - sem as características de identidade e qualidade admitidas para a sua comercialização; (Incluído pela Lei nº 9.677, de 2.7.1998)
                    IV - com redução de seu valor terapêutico ou de sua atividade; ((Incluído pela Lei nº 9.677, de 2.7.1998)
                     V - de procedência ignorada; (Incluído pela Lei nº 9.677, de 2.7.1998)
                    VI - adquiridos de estabelecimento sem licença da autoridade sanitária competente. (Incluído pela Lei nº 9.677, de 2.7.1998       Modalidade culposa
        § 2º - Se o crime é culposo:  
Pena - detenção, de 1 (um) a 3 (três) anos, e multa. (Redação dada pela Lei nº 9.677, de 2.7.1998)",S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N,CP,273,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,3509,3491.0,"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica","Art. 282 - Exercer, ainda que a título gratuito, a profissão de médico, dentista ou farmacêutico, sem autorização legal ou excedendo-lhe os limites:

Pena - detenção, de seis meses a dois anos.

Parágrafo único - Se o crime é praticado com o fim de lucro, aplica-se também multa.

",S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N,CP,282,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,3517,3491.0,Outras Substâncias Nocivas a Saúde Pública ,"Art. 278 - Fabricar, vender, expor à venda, ter em depósito para vender ou, de qualquer forma, entregar a consumo coisa ou substância nociva à saúde, ainda que não destinada à alimentação ou a fim medicinal:

Pena - detenção, de um a três anos, e multa.

Modalidade culposa

Parágrafo único - Se o crime é culposo:

Pena - detenção, de dois meses a um ano.

",S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N,CP,278,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,5867,3491.0,Medicamento em Desacordo com Receita Médica,"Art. 280 - Fornecer substância medicinal em desacordo com receita médica:

Pena - detenção, de um a três anos, ou multa.

Modalidade culposa

Parágrafo único - Se o crime é culposo:

Pena - detenção, de dois meses a um ano.
",S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,N,CP,280,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,5967,5957.0,Taxa de Saúde Suplementar,"Cobrada pela Agência Nacional de Saúde - ANS, é devida pelas pessoas jurídicas que operem produto, serviço ou contrato de assistência à saúde como assistência médica, hospitalar ou odontológica. Subdivede-se em duas taxas TSP: uma é devida em face da fiscalização dos planos de saúde (art. 20, I), a outra é devida por registro ou alteração de dados de produto,  ou operadora, e pelo pedido de reajuste de contraprestação pecuniária (art. 20, II). 
",S,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,Lei 9.961/2000. ,"20, I e II",N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,6064,6048.0,Custeio de Assistência Médica,"<p>
	Temas envolvendo a incid&ecirc;ncia da contribui&ccedil;&atilde;o previdenci&aacute;ria sobre a parcela descontada ou reembolso de despesas m&eacute;dicas, odontol&oacute;gicas, ambulatoriais, hospitalares e outras relacionadas &agrave; sa&uacute;de com conv&ecirc;nio ou diretamente prestada.</p>
",S,S,N,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,L 8.212/1991,"28, I e § 9º, q",N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,6082,6071.0,FUSEX/FUNSA/FUSMA/Fundo de Saúde das Forças Armadas,"Discute-se a constitucionalidade da instituição da contribuição para a seguridade social dos militares (exército, marinha e aeronáutica) para financiamento da saúde médico-hospitalar dos mesmos.",S,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,L 5.787/1972 ;  D 92.512/1986 ;  L 8.237/1991 ; MP 2.131/2000,"81§ 1º ; 11, II, a e 14, I e II ; 75, II ;    ;",N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,6233,7771.0,Planos de Saúde,"<p>
	Abrange as a&ccedil;&otilde;es ajuizadas em face de Plano de Assist&ecirc;ncia M&eacute;dica, Seguro Sa&uacute;de e Sistemas de auto-gest&atilde;o. Lei n. 9.656/99. Artigo 54, do C.D.C.</p>
",S,S,S,S,N,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,Lei n. 9.656/99 e Lei n. 8.078/90 (C.D.C.),"Artigo 54, do C.D.C.",N,N,N,I,2008-09-30 15:52:52,,2019-07-04 16:37:47,carlsmith
2025-09-11 16:34:41,7775,7771.0,Serviços Hospitalares,"<p>
	Abrange as a&ccedil;&otilde;es decorrentes de servi&ccedil;os de aten&ccedil;&atilde;o &agrave; sa&uacute;de, inclusive prestados por cl&iacute;nicas. Artigos 14 e 20, do C.D.C.</p>
",S,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,Lei n. 8.078/90 (C.D.C.),14 e 20,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,7794,7793.0,Tratamento Ambulatorial,"o fato previsto como crime for punível com detenção, poderá o juiz submeter ao tratamento ambulatorial.
A aplicação à Justiça Militar é feita com base na norma do CP, subsidiariamente.",S,S,S,S,N,N,N,S,S,S,S,S,S,S,N,N,N,N,N,N,S,N,S,N,N,N,S,S,N,CP,97,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,9648,9634.0,Periclitação da Vida e da Saúde,,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,,,N,N,N,A,2008-09-30 15:52:52,,2021-05-28 14:08:28,pedro.amorim
2025-09-11 16:34:41,9650,9648.0,Perigo para a vida ou saúde de outrem (art. 132),"Perigo para a vida ou saúde de outrem
Art. 132 - Expor a vida ou a saúde de outrem a perigo direto e iminente:
Pena - detenção, de três meses a um ano, se o fato não constitui crime mais grave.
Parágrafo único. A pena é aumentada de um sexto a um terço se a exposição da vida ou da saúde de outrem a perigo decorre do transporte de pessoas para a prestação de serviços em estabelecimentos de qualquer natureza, em desacordo com as normas legais. (Incluído pela Lei nº 9.777, de 29.12.1998)",S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,CP,132,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,9786,9773.0,Epidemia (art. 267),"Epidemia
Art. 267 - Causar epidemia, mediante a propagação de germes patogênicos:
Pena - reclusão, de dez a quinze anos. (Redação dada pela Lei nº 8.072, de 25.7.1990)
        § 1º - Se do fato resulta morte, a pena é aplicada em dobro.
        § 2º - No caso de culpa, a pena é de detenção, de um a dois anos, ou, se resulta morte, de dois a quatro anos.",S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,CP,267,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,9789,9773.0,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais,"Falsificação, corrupção, adulteração ou alteração de produto destinado a fins terapêuticos ou medicinais (Redação dada pela Lei nº 9.677, de 2.7.1998)
Art. 273 - Falsificar, corromper, adulterar ou alterar produto destinado a fins terapêuticos ou medicinais: (Redação dada pela Lei nº 9.677, de 2.7.1998)
Pena - reclusão, de 10 (dez) a 15 (quinze) anos, e multa. (Redação dada pela Lei nº 9.677, de 2.7.1998)
        § 1º - Nas mesmas penas incorre quem importa, vende, expõe à venda, tem em depósito para vender ou, de qualquer forma, distribui ou entrega a consumo o produto falsificado, corrompido, adulterado ou alterado. (Redação dada pela Lei nº 9.677, de 2.7.1998)
             § 1º-A - Incluem-se entre os produtos a que se refere este artigo os medicamentos, as matérias-primas, os insumos farmacêuticos, os cosméticos, os saneantes e os de uso em diagnóstico. (Incluído pela Lei nº 9.677, de 2.7.1998)
              § 1º-B - Está sujeito às penas deste artigo quem pratica as ações previstas no § 1º em relação a produtos em qualquer das seguintes condições: (Incluído pela Lei nº 9.677, de 2.7.1998)
                     I - sem registro, quando exigível, no órgão de vigilância sanitária competente; (Incluído pela Lei nº 9.677, de 2.7.1998)
                    II - em desacordo com a fórmula constante do registro previsto no inciso anterior; (Incluído pela Lei nº 9.677, de 2.7.1998)
                   III - sem as características de identidade e qualidade admitidas para a sua comercialização; (Incluído pela Lei nº 9.677, de 2.7.1998)
                    IV - com redução de seu valor terapêutico ou de sua atividade; ((Incluído pela Lei nº 9.677, de 2.7.1998)
                     V - de procedência ignorada; (Incluído pela Lei nº 9.677, de 2.7.1998)
                    VI - adquiridos de estabelecimento sem licença da autoridade sanitária competente. (Incluído pela Lei nº 9.677, de 2.7.1998       Modalidade culposa
        § 2º - Se o crime é culposo:  
Pena - detenção, de 1 (um) a 3 (três) anos, e multa. (Redação dada pela Lei nº 9.677, de 2.7.1998)",S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,CP,273,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,9790,9773.0,"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica (art. 282)","Exercer, ainda que a título gratuito, a profissão de médico, dentista ou farmacêutico, sem autorização legal ou excedendo-lhe os limites.",S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,CP,282,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,9798,9773.0,Outras Substâncias Nocivas a Saúde Pública (Art. 278),"Fabricar, vender, expor à venda, ter em depósito para vender ou, de qualquer forma, entregar a consumo coisa ou substância nociva à saúde, ainda que não destinada à alimentação ou a fim medicinal.
",S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,CP,278,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,9802,9773.0,Medicamento em Desacordo com Receita Médica,Fornecer substância medicinal em desacordo com receita médica.,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,CP,280,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,9995,9992.0,Serviços de Saúde,"<p>
	Assunto espec&iacute;fico relacionado com danos provocados nna presta&ccedil;&atilde;o de servi&ccedil;os de sa&uacute;de, que suprime a necessidade de classificar em Dano Moral e/ou Material e/ou Est&eacute;tico e/ou Funcional.</p>
",S,S,N,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S,N,CF,"art. 5º, V, X",N,N,N,A,2008-09-30 15:52:52,,2023-09-27 16:53:34,pedro.amorim
2025-09-11 16:34:41,10003,9998.0,Comercialização e/ou Utilização sem Restrições de Medicamentos,"<p>
	Discuss&otilde;es sobre a possibilidade de comercializa&ccedil;&atilde;o, importa&ccedil;&atilde;o ou utiliza&ccedil;&atilde;o de medicamentos e sobre os procedimentos de licenciamento da atividade ou de atos espec&iacute;ficos.</p>
",S,S,N,S,S,S,N,N,S,S,S,S,N,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S,N,"Lei 5.991/73, 6.360/76 e 6.437/77",,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,10064,10028.0,Saúde,Dispõe sobre a saúde e a responsabilidade do Estado na sua prestação.,S,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S,N,CF,art. 196 a 200,N,N,N,I,2008-09-30 15:52:52,,2019-07-04 16:35:44,carlsmith
2025-09-11 16:34:41,10065,10064.0,Repasse de Verbas do SUS,,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,,,N,N,N,I,2008-09-30 15:52:52,,2019-07-04 16:36:21,carlsmith
2025-09-11 16:34:41,10066,10064.0,Reajuste da Tabela do SUS,,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,,,N,N,N,I,2008-09-30 15:52:52,,2019-07-04 16:36:17,carlsmith
2025-09-11 16:34:41,10067,10064.0,Convênio Médico com o SUS,"Casos relativos a convênios celebrados entre instituições de assistência à saúde (médicos, clínicas, hospitais) a respeito do vínculo com o SUS. Discussões entre a instituição de assistência médica (plano de saúde) e o beneficiário devem ser classificadas em DirConsumidor;Contratos de Consumo;Plano de Saúde.",N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,,,N,N,N,I,2008-09-30 15:52:52,,2019-07-04 16:35:51,carlsmith
2025-09-11 16:34:41,10069,10064.0,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,"<p>
	Disp&otilde;e sobre a responsabilidade do Estado na presta&ccedil;&atilde;o dos servi&ccedil;os de sa&uacute;de, inclusive tratamento e medicamento.</p>
<p>
	Inativa&ccedil;&atilde;o solicitada pelo F&oacute;rum da Sa&uacute;de, associada &agrave; cria&ccedil;&atilde;o dos assuntos 11883 e 11884.</p>
",S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,CF,Art. 196,N,N,N,I,2008-09-30 15:52:52,,2011-12-07 08:26:55,marivaldodantas
2025-09-11 16:34:41,10070,10064.0,Ressarcimento ao SUS,,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,,,N,N,N,I,2008-09-30 15:52:52,,2019-07-04 16:36:24,carlsmith
2025-09-11 16:34:41,10071,10064.0,Genética / Células Tronco,"Classifica ações que discutam autorização ou a permissão para utilização e pesquisa referente a células-tronco, bem como ações em que os autores reivindicam o direito de enviar células-tronco ou cordão umbilical para o exterior.",N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,,,N,N,N,I,2008-09-30 15:52:52,,2019-07-04 16:36:11,carlsmith
2025-09-11 16:34:41,10244,10288.0,Assistência à Saúde,"<p>
	Disp&otilde;e sobre a forma de assist&ecirc;ncia &agrave; sa&uacute;de dos servidores p&uacute;blicos.</p>
",S,S,N,S,S,S,N,N,S,S,S,S,S,S,N,S,S,S,N,N,N,N,N,S,S,S,S,S,N,L 8.112/1990,230,N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,10263,10258.0,Tratamento da Própria Saúde,"<p>
	Art. 102. Al&eacute;m das aus&ecirc;ncias ao servi&ccedil;o previstas no art. 97, s&atilde;o considerados como de efetivo exerc&iacute;cio os afastamentos em virtude de: VIII %u2013 licen&ccedil;a: b) para tratamento da pr&oacute;pria sa&uacute;de, at&eacute; o limite de vinte e quatro meses, cumulativo ao longo do tempo de servi&ccedil;o p&uacute;blico prestado &agrave; Uni&atilde;o, em cargo de provimento efetivo.</p>
",S,S,N,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L 8.112/1990,"102, VIII, b",N,N,N,A,2008-09-30 15:52:52,,,
2025-09-11 16:34:41,10335,10325.0,Serviço Militar dos Profissionais da Saúde,"<p>
	Casos dos m&eacute;dicos, farmac&ecirc;uticos, dentistas e veterin&aacute;rios (MFDV), que pretendem dispensa ou adiamento da incorpora&ccedil;&atilde;o.</p>
",S,S,N,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,N,L 5.292/1967,art. 4º,N,N,N,A,2008-09-30 15:52:52,,,
